Date/Time,Word Count,en,es,nl
2024.07.04-12.12.51,0,0,0,0
2024.07.04-12.17.53,873,873,0,0
2024.07.04-12.48.08,858,858,0,0
2024.07.04-13.25.01,801,801,0,0
2024.07.04-13.43.33,795,795,0,0
2024.07.04-13.44.58,791,791,0,0
2024.07.04-13.46.12,787,787,0,0
2024.07.04-14.59.03,809,809,0,0
2024.07.04-15.06.11,807,807,0,0
2024.07.04-15.18.45,807,807,0,54
2024.07.04-16.12.12,811,811,0,466
2024.07.04-22.27.45,830,830,643,428
2024.07.04-22.42.18,830,830,639,424
2024.07.04-22.45.09,830,830,639,428
2024.07.04-22.46.10,830,830,643,428
